PHOTOID, LATITUDE, LONGITUDE, DATETIME
37013684602, 60.390112, 25.650157, 2017:01:01 01:01:01
36783071350, 61.443055, 23.711388, 2017:02:02 02:02:02
37038527881, 63.559656, 27.185003, 2017:03:03 02:02:03
37013681472, 60.390112, 25.650157, 2017:04:04 02:02:04
36348715474, 60.406965, 22.112045, 2017:06:05 22:19:09
36347391484, 62.931202, 22.041374, 2017:08:15 15:13:03
37040485841, 60.139394, 24.989719, 2017:09:06 19:10:00
36785042970, 60.142850, 24.981763, 2017:10:06 19:35:01
37010804012, 60.147722, 24.987730, 2017:11:06 20:06:33
36986933276, 60.170520, 24.943063, 2017:12:12 10:58:31
36368404583, 59.828680, 22.928831, 2017:12:30 10:58:32